Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
MEE V|-42,56|-45,53|7,0|7,0|?
MEE X|-36,04|-41,55|7,0|7,0|?
MEE Y|-36,93|-44,46|7,0|7,0|?
MEE Z|-42,60|-44,70|12,0|12,0|?
MENELAUS|15,93|16,26|27,0|27,0|3000
MENELAUS A|13,39|17,07|7,0|7,0|?
Menelaus A 1|16,69|17,46|10,0|10,0|?
Menelaus Z 1|15,78|17,70|12,0|12,0|?
Menelaus Z 2|15,46|17,70|6,0|6,0|?
Menelaus Z 3|15,73|17,94|8,0|8,0|?
MERCATOR|-26,11|-29,25|48,0|48,0|1760
MERCATOR A|-27,83|-30,64|9,0|9,0|?
MERCATOR B|-25,20|-29,16|8,0|8,0|?
MERCATOR C|-27,04|-29,15|8,0|8,0|?
MERCATOR D|-25,37|-29,33|7,0|7,0|?
MERCATOR G|-25,07|-31,13|14,0|14,0|?
MERCURIUS|66,07|46,66|68,0|68,0|?
MERCURIUS A|73,27|47,87|20,0|20,0|?
MERCURIUS B|69,82|47,43|13,0|13,0|?
MERCURIUS C|59,66|47,59|26,0|26,0|?
MERCURIUS D|69,00|46,13|50,0|50,0|?
MERCURIUS E|73,43|49,76|29,0|29,0|?
MERCURIUS F|62,85|45,19|17,0|17,0|?
MERCURIUS G|64,22|45,11|13,0|13,0|?
MERCURIUS H|63,48|49,19|10,0|10,0|?
MERCURIUS J|58,99|47,15|9,0|9,0|?
MERCURIUS K|73,01|47,32|21,0|21,0|?
MERCURIUS L|64,24|45,90|12,0|12,0|?
MERCURIUS M|74,12|50,85|40,0|40,0|?
MERSENIUS|-49,34|-21,49|85,0|85,0|2300
Mersenius 1|-49,58|-15,66|9,0|17,0|?
MERSENIUS B|-51,68|-21,07|15,0|15,0|?
MERSENIUS C|-45,99|-19,76|14,0|14,0|?
MERSENIUS D|-46,84|-23,16|34,0|34,0|?
MERSENIUS E|-46,13|-22,51|10,0|10,0|?
MERSENIUS H|-50,02|-22,53|15,0|15,0|?
MERSENIUS P|-47,87|-20,02|42,0|42,0|?
MERSENIUS S|-47,06|-19,22|16,0|16,0|?
MESSALA|60,06|39,31|124,0|124,0|?
MESSALA A|53,82|36,57|26,0|26,0|?
MESSALA B|59,81|37,37|18,0|18,0|?
MESSALA C|65,84|41,00|12,0|12,0|?
MESSALA D|67,89|40,52|28,0|28,0|?
MESSALA E|64,95|39,99|40,0|40,0|?
MESSALA F|64,38|38,85|32,0|32,0|?
MESSALA G|68,91|39,07|29,0|29,0|?
MESSALA J|61,20|41,12|15,0|15,0|?
MESSALA K|58,51|40,98|13,0|13,0|?
MESSIER|47,65|-1,90|12,0|9,0|?
Messier 1|49,12|-4,24|15,0|15,0|?
Messier 2|49,01|-2,64|12,0|16,0|?
Messier 3|49,85|-1,66|8,0|9,0|?
MESSIER A|46,94|-2,03|13,0|11,0|?
Messier A 1|46,83|-3,44|8,2|8,2|?
Messier A 2|45,07|0,23|15,0|15,0|?
MESSIER B|48,06|-0,90|6,0|6,0|?
MESSIER D|46,32|-3,59|8,0|8,0|?
Messier D 1|44,34|-4,30|40,2|40,2|?
Messier G 1|49,21|-4,24|10,9|10,9|?
METIUS|43,37|-40,42|88,0|88,0|3000
METIUS B|44,37|-40,18|14,0|14,0|?
METIUS C|49,07|-44,22|11,0|11,0|?
METIUS D|48,48|-42,66|11,0|11,0|?
METIUS E|42,84|-39,80|6,0|6,0|?
METIUS F|42,74|-39,12|8,0|8,0|?
METIUS G|45,25|-40,37|9,0|9,0|?
METON|19,63|73,57|123,0|123,0|?
METON A|30,67|73,23|14,0|14,0|?
METON B|18,17|71,39|6,0|6,0|?
METON C|18,87|70,45|77,0|77,0|?
Meton C 1|19,53|73,14|8,0|8,0|?
Meton C 2|21,18|72,94|0,0|0,0|?
Meton C 3|20,43|71,81|9,0|9,0|?
Meton C 4|13,32|65,64|0,0|0,0|?
METON D|24,46|72,16|78,0|78,0|?
METON E|15,25|75,19|42,0|42,0|?
METON F|14,03|72,01|51,0|51,0|?
METON G|28,12|72,76|10,0|10,0|?
METON W|17,49|67,46|7,0|7,0|?
MICHAEL|0,21|25,05|3,5|3,5|
MIDDLE CRESCENT|-23,40|-3,20|0,0|0,0|
MILICHIUS|-30,23|10,01|13,0|13,0|2150
Milichius 1|-29,28|9,03|8,4|8,4|?
Milichius 10|-32,77|12,71|4,0|4,0|?
Milichius 11|-30,10|12,83|16,5|16,5|?
Milichius 12|-31,95|12,83|15,0|15,0|?
Milichius 13|-32,59|12,89|5,0|5,0|?
Milichius 14|-31,98|13,00|10,0|10,0|?
Milichius 15|-32,25|13,00|10,0|10,0|?
Milichius 16|-31,03|13,12|12,0|12,0|?
Milichius 17|-32,48|13,12|6,0|6,0|?
Milichius 18|-31,93|13,18|15,0|15,0|?
Milichius 19|-31,60|13,24|9,6|9,6|?
Milichius 2|-32,14|10,54|10,8|10,8|?
Milichius 20|-30,49|13,65|18,0|14,0|?
Milichius 21|-30,91|13,77|14,0|14,0|?
Milichius 3|-31,34|10,72|20,0|18,0|?
Milichius 4|-32,81|10,95|17,0|17,0|?
Milichius 5|-33,28|11,36|15,0|15,0|?
Milichius 6|-31,23|11,54|30,0|30,0|?
Milichius 7|-30,06|12,53|16,0|20,0|?
Milichius 8|-30,61|12,59|8,6|8,6|?
Milichius 9|-31,25|12,71|14,0|14,0|?
MILICHIUS A|-32,07|9,25|9,0|9,0|?
Milichius A 1|-32,16|8,11|3,0|5,0|?
Milichius A 2|-32,65|9,56|3,0|3,0|?
Milichius P 1|-31,20|10,08|8,9|8,9|?
MILLER|0,78|-39,37|75,0|75,0|3500
MILLER A|1,79|-37,69|39,0|39,0|?
MILLER B|0,92|-37,67|12,0|12,0|?
MILLER C|-0,35|-38,20|36,0|36,0|?
MILLER E|2,75|-38,93|6,0|6,0|?
MITCHELL|20,17|49,77|30,0|30,0|1250
Mitchell 1|20,05|47,65|12,0|10,0|?
MITCHELL B|19,44|48,53|6,0|6,0|?
MITCHELL E|21,73|47,70|8,0|8,0|?
MOIGNO|28,80|66,27|36,0|36,0|?
MOIGNO A|29,72|64,81|16,0|16,0|?
MOIGNO B|26,11|64,64|26,0|26,0|?
MOIGNO C|29,06|65,98|9,0|9,0|?
MOIGNO D|27,59|65,19|23,0|23,0|?
MOLTKE|24,16|-0,59|7,0|7,0|1310
Moltke 1|24,65|0,00|0,0|0,0|?
MONGE|47,54|-19,24|36,0|36,0|2600
MONIRA|-1,73|-12,54|1,1|1,1|
MONS AGNES|5,34|18,66|0,0|0,0|
MONS AMPERE|-3,71|19,32|30,0|30,0|3000
MONS ARGAEUS|29,01|19,33|50,0|20,0|2500
MONS BRADLEY|0,38|21,73|30,0|30,0|4200
MONS DELISLE|-35,79|29,42|50,0|30,0|?
MONS GRUITHUISEN DELTA|-39,59|36,07|20,0|20,0|?
MONS GRUITHUISEN GAMMA|-40,72|36,56|20,0|20,0|?
MONS HADLEY|4,12|26,69|25,0|25,0|4800
MONS HADLEY DELTA|3,71|25,72|20,0|20,0|?
MONS HANSTEEN|-50,21|-12,19|30,0|30,0|?
MONS HERODOTUS|-52,94|27,50|6,8|6,8|
MONS HUYGENS|-2,86|19,92|40,0|40,0|5400
MONS LA HIRE|-25,51|27,66|20,0|10,0|1700
MONS MARALDI|35,50|20,34|15,0|15,0|?
MONS MORO|-19,84|-11,84|10,0|3,0|?
MONS PENCK|21,74|-10,00|30,0|20,0|4000
MONS PICO|-8,87|45,82|25,0|15,0|2400
MONS PITON|-0,92|40,72|25,0|25,0|2250
MONS RUMKER|-58,38|40,76|70,0|70,0|?
MONS USOV|63,26|11,91|15,0|15,0|?
MONS VINOGRADOV|-32,52|22,35|25,0|25,0|?
MONS VITRUVIUS|30,74|19,33|15,0|15,0|?
MONS WOLFF|-6,80|16,88|35,0|35,0|3500
MONT BLANC|0,44|45,41|25,0|25,0|3600
MONTANARI|-20,76|-45,83|78,0|78,0|?
MONTANARI D|-22,21|-45,95|26,5|26,5|
MONTANARI W|-18,10|-44,82|6,3|6,3|
MONTES AGRICOLA|-54,07|29,06|160,0|10,0|?
MONTES ALPES|-0,58|48,36|250,0|50,0|2400
MONTES APENNINUS|0,03|19,87|953,0|100,0|5400
MONTES ARCHIMEDES|-5,25|25,39|140,0|140,0|?
MONTES CARPATUS|-23,62|14,57|280,0|60,0|2400
MONTES CAUCASUS|9,93|37,52|520,0|100,0|3650
MONTES CORDILLERA|-79,00|-20,00|900,0|300,0|6000
MONTES HAEMUS|12,03|17,11|400,0|50,0|?
MONTES HARBINGER|-41,29|26,89|90,0|40,0|2500
MONTES JURA|-36,11|47,49|497,0|30,0|6000
MONTES PYRENAEUS|41,51|-14,05|250,0|50,0|3000
MONTES RECTI|-19,72|48,30|90,0|20,0|1800
MONTES RECTI B|-18,28|48,52|7,3|7,3|
MONTES RIPHAEUS|-27,60|-7,48|150,0|40,0|?
MONTES ROOK|-83,00|-20,00|600,0|100,0|6000
MONTES SECCHI|43,17|2,72|50,0|20,0|?
MONTES SPITZBERGEN|-5,21|34,47|60,0|15,0|1400
MONTES TAURUS|40,34|27,32|150,0|150,0|3000
MONTES TENERIFFE|-13,19|47,89|111,0|15,0|1450
MORETUS|-5,95|-70,63|114,0|114,0|5000
MORETUS A|-13,98|-70,42|32,0|32,0|?
MORETUS C|-11,63|-72,62|17,0|17,0|?
Moro 1|-19,87|-11,60|5,0|14,0|100
MOSELEY C|-88,52|22,21|18,9|18,9|
MOSELEY D|-87,65|22,87|17,5|17,5|
MOSTING|-5,88|-0,70|27,0|27,0|2760
MOSTING A|-5,19|-3,21|13,0|13,0|2700
MOSTING B|-7,39|-2,73|7,0|7,0|?
MOSTING D|-5,12|-0,37|7,0|7,0|?
MOSTING E|-4,59|0,18|44,0|44,0|?
MOSTING M|-4,36|-1,37|31,0|31,0|?
MOSTING U|-6,58|-3,15|18,0|18,0|?
MOUCHEZ|-26,82|78,38|83,0|83,0|?
MOUCHEZ A|-30,37|80,89|51,0|51,0|?
MOUCHEZ B|-23,05|78,35|8,0|8,0|?
MOUCHEZ C|-26,12|77,42|13,0|13,0|?
MOUCHEZ J|-38,59|79,52|17,0|17,0|?
MOUCHEZ L|-40,78|78,71|20,0|20,0|?
MOUCHEZ M|-50,13|80,26|17,0|17,0|?
MULLER|2,04|-7,64|25,0|20,0|210
MULLER A|2,13|-8,14|10,0|10,0|?
MULLER F|1,48|-7,86|6,0|6,0|?
MULLER O|2,41|-7,89|11,0|11,0|?
MURCHISON|-0,21|5,07|58,0|58,0|?
Murchison 1|0,12|5,05|4,9|4,9|?
MUTUS|29,93|-63,65|78,0|78,0|3700
MUTUS A|31,98|-63,95|16,0|16,0|?
MUTUS B|29,56|-64,02|17,0|17,0|?
MUTUS C|27,22|-61,32|32,0|32,0|?
MUTUS D|23,25|-58,50|22,0|22,0|?
MUTUS E|36,00|-65,52|22,0|22,0|?
MUTUS F|34,18|-66,27|42,0|42,0|?
MUTUS G|34,85|-67,24|17,0|17,0|?
MUTUS H|24,11|-63,68|21,0|21,0|?
MUTUS J|23,29|-62,81|8,0|8,0|?
MUTUS K|21,51|-57,89|7,0|7,0|?
MUTUS L|24,81|-61,85|20,0|20,0|?
MUTUS M|24,32|-59,21|20,0|20,0|?
MUTUS N|27,63|-62,44|11,0|11,0|?
MUTUS O|23,86|-57,85|14,0|14,0|?
MUTUS P|25,55|-59,16|16,0|16,0|?
MUTUS Q|30,37|-62,30|8,0|8,0|?
MUTUS R|23,99|-60,88|27,0|27,0|?
MUTUS S|22,02|-60,63|25,0|25,0|?
MUTUS T|21,26|-59,23|34,0|34,0|?
MUTUS V|31,46|-63,08|24,0|24,0|?
MUTUS W|40,17|-66,81|21,0|21,0|?
MUTUS X|36,62|-67,10|21,0|21,0|?
MUTUS Y|34,96|-64,87|26,0|26,0|?
MUTUS Z|34,63|-64,10|30,0|30,0|?
NANSEN A|65,00|82,83|33,0|33,0|?
NANSEN APOLLO|30,50|20,10|0,9|0,9|
NANSEN C|55,42|83,44|35,0|35,0|?
NANSEN D|65,81|83,88|18,0|18,0|?
NANSEN E|72,70|83,36|24,0|24,0|?
NANSEN F|62,44|84,95|62,0|62,0|?
NANSEN U|82,60|81,54|14,0|14,0|?
NAONOBU|57,93|-4,70|35,0|35,0|?
NASIREDDIN|0,14|-41,04|53,0|53,0|3000
NASIREDDIN B|-1,16|-39,47|9,0|9,0|?
NASMYTH|-56,39|-50,49|78,0|78,0|2300
NASMYTH D|-55,45|-49,23|13,0|13,0|?
NASMYTH F|-53,70|-50,03|9,0|9,0|?
NASMYTH G|-53,96|-49,64|7,0|7,0|?
NATASHA|-31,16|19,98|12,0|12,0|290
NAUMANN|-62,02|35,38|10,0|10,0|?
NAUMANN B|-60,70|37,46|10,0|10,0|?
NAUMANN G|-60,73|33,57|6,0|6,0|?
NEANDER|39,88|-31,35|50,0|50,0|3400
NEANDER A|39,58|-30,95|11,0|11,0|?
NEANDER B|40,09|-28,26|9,0|9,0|?
NEANDER C|35,95|-28,67|20,0|20,0|?
NEANDER D|42,41|-26,58|11,0|11,0|?
NEANDER E|40,70|-29,91|25,0|25,0|?
NEANDER F|37,78|-32,15|22,0|22,0|?
NEANDER G|43,84|-33,40|18,0|18,0|?
NEANDER H|42,47|-33,08|13,0|13,0|?
NEANDER J|43,46|-34,04|13,0|13,0|?
NEANDER K|39,75|-35,05|14,0|14,0|?
NEANDER L|41,80|-31,43|21,0|21,0|?
NEANDER M|37,66|-34,85|11,0|11,0|?
NEANDER N|37,28|-32,47|17,0|17,0|?
NEANDER O|38,97|-35,66|13,0|13,0|?
NEANDER P|41,07|-28,45|6,0|6,0|?
NEANDER Q|41,46|-28,91|6,0|6,0|?
NEANDER R|38,54|-33,32|12,0|12,0|?
NEANDER S|42,13|-32,01|12,0|12,0|?
NEANDER T|38,41|-29,95|10,0|10,0|?
NEANDER W|38,36|-32,31|9,0|9,0|?
NEANDER X|37,76|-33,05|8,0|8,0|?
NEANDER Y|38,17|-34,60|8,0|8,0|?
NEANDER Z|41,96|-33,84|7,0|7,0|?
NEARCH|39,01|-58,58|76,0|76,0|2900
NEARCH A|40,16|-60,20|43,0|43,0|?
NEARCH B|35,91|-61,07|43,0|43,0|?
NEARCH C|35,51|-62,14|41,0|41,0|?
NEARCH D|38,09|-57,17|10,0|10,0|?
NEARCH E|33,95|-61,51|11,0|11,0|?
NEARCH F|38,12|-63,10|8,0|8,0|?
NEARCH H|40,58|-57,73|9,0|9,0|?
NEARCH J|37,55|-57,41|7,0|7,0|?
NEARCH K|35,26|-58,03|13,0|13,0|?
NEARCH L|35,60|-58,57|18,0|18,0|?
NEARCH M|35,15|-58,61|7,0|7,0|?
NEISON|25,02|68,21|53,0|53,0|?
NEISON A|26,71|67,36|9,0|9,0|?
NEISON B|25,81|67,32|8,0|8,0|?
NEISON C|23,03|66,94|9,0|9,0|?
NEISON D|22,48|67,90|6,0|6,0|?
NEPER|84,58|8,76|138,0|138,0|?
NEPER D|80,94|9,27|40,0|40,0|?
NEPER H|78,36|10,41|9,0|9,0|?
NEPER Q|83,14|8,09|12,0|12,0|?
NEUMAYER|70,92|-71,16|76,0|76,0|?
NEUMAYER A|73,88|-75,08|31,0|31,0|?
NEUMAYER M|80,36|-71,73|31,0|31,0|?
NEUMAYER N|78,40|-70,54|36,0|36,0|?
NEUMAYER P|83,49|-70,59|22,0|22,0|?
NEWCOMB|43,67|29,76|40,0|40,0|2180
NEWCOMB A|43,54|29,22|19,0|19,0|?
NEWCOMB B|45,53|28,37|23,0|23,0|?
NEWCOMB C|45,31|29,19|29,0|29,0|?
NEWCOMB F|42,63|31,42|28,0|28,0|?
NEWCOMB G|44,53|28,00|16,0|16,0|?
NEWCOMB H|42,50|28,95|12,0|12,0|?
NEWCOMB J|44,22|28,72|23,0|23,0|?
NEWCOMB Q|42,87|30,30|14,0|14,0|?
NEWTON|-17,44|-76,52|80,0|80,0|8000
NEWTON A|-20,82|-80,05|64,0|64,0|?
NEWTON B|-16,72|-81,45|44,0|44,0|?
NEWTON C|-14,23|-74,44|35,0|35,0|?
NEWTON D|-15,32|-76,09|37,0|37,0|?
NEWTON E|-37,36|-79,86|17,0|17,0|?
NEWTON F|-15,14|-73,06|7,0|7,0|?
NEWTON G|-18,96|-78,08|67,0|67,0|?
NICOLAI|25,87|-42,47|41,0|41,0|1800
NICOLAI A|23,60|-42,47|13,0|13,0|?
NICOLAI B|25,26|-43,21|13,0|13,0|?
NICOLAI C|28,90|-44,12|25,0|25,0|?
NICOLAI D|25,58|-41,78|6,0|6,0|?
NICOLAI E|25,26|-40,68|13,0|13,0|?
NICOLAI G|22,32|-42,90|11,0|11,0|?
NICOLAI H|26,72|-43,57|17,0|17,0|?
NICOLAI J|22,04|-40,65|8,0|8,0|?
NICOLAI K|28,09|-42,89|25,0|25,0|?
NICOLAI L|25,70|-44,29|13,0|13,0|?
NICOLAI M|29,00|-42,52|11,0|11,0|?
NICOLAI P|29,63|-43,22|30,0|30,0|?
NICOLAI Q|30,01|-42,53|26,0|26,0|?
NICOLAI R|25,87|-41,56|6,0|6,0|?
NICOLAI Z|21,47|-40,96|24,0|24,0|?
NICOLLET|-12,50|-21,95|15,0|15,0|2030
NIKOLYA|-35,00|38,30|0,1|0,1|
NOBILE|53,27|-85,28|79,3|79,3|
NOBILI|75,95|0,17|41,0|42,0|?
NOGGERATH|-45,84|-48,82|31,0|31,0|1500
NOGGERATH A|-43,52|-47,91|7,0|7,0|?
NOGGERATH C|-43,20|-45,83|13,0|13,0|?
NOGGERATH D|-41,63|-47,26|14,0|14,0|?
NOGGERATH F|-46,96|-48,07|9,0|9,0|?
NOGGERATH G|-45,94|-50,27|21,0|21,0|?
NOGGERATH H|-48,07|-49,57|26,0|26,0|?
NOGGERATH J|-48,01|-48,48|17,0|17,0|?
NOGGERATH M|-46,68|-44,08|11,0|11,0|?
NOGGERATH P|-41,94|-47,69|10,0|10,0|?
NOGGERATH S|-46,28|-44,45|6,0|6,0|?
NONIUS|3,79|-34,90|70,0|70,0|3000
NONIUS A|5,54|-35,39|10,0|10,0|?
NONIUS B|2,03|-35,90|21,0|21,0|?
NONIUS C|1,11|-35,49|7,0|7,0|?
NONIUS D|1,67|-35,57|6,0|6,0|?
NONIUS F|3,74|-35,93|7,0|7,0|?
NONIUS G|5,67|-34,76|6,0|6,0|?
NONIUS K|3,91|-33,73|18,0|18,0|?
NONIUS L|3,52|-33,51|31,0|31,0|?
NONIUS Q|4,22|-35,93|7,0|7,0|?
NONIUS R|3,30|-35,94|10,0|10,0|?
NORMAN|-30,35|-11,78|10,0|10,0|2000
Norman 1|-31,69|-11,89|17,8|17,8|?
Norman 2|-31,34|-11,83|10,0|17,0|?
NORTH COMPLEX|3,60|26,20|2,0|2,0|
NORTH MASSIF|30,80|20,40|14,0|14,0|
NORTH RAY|15,50|-8,80|1,0|1,0|
OCEANUS PROCELLARUM|-56,68|20,67|700,0|500,0|?
OENOPIDES|-64,20|57,13|68,0|68,0|?
OENOPIDES B|-68,93|58,56|34,0|34,0|?
OENOPIDES K|-61,19|55,83|6,0|6,0|?
OENOPIDES L|-61,85|55,55|10,0|10,0|?
OENOPIDES M|-61,02|55,48|6,0|6,0|?
OENOPIDES R|-67,89|55,60|56,0|56,0|?
OENOPIDES S|-70,15|58,19|7,0|7,0|?
OENOPIDES T|-68,81|57,25|8,0|8,0|?
OENOPIDES Y|-63,48|57,02|6,0|6,0|?
OENOPIDES Z|-67,10|58,96|7,0|7,0|?
OERSTED|47,25|43,09|41,0|41,0|?
OERSTED A|47,18|43,35|7,0|7,0|?
OERSTED P|45,91|43,61|21,0|21,0|?
OKEN|76,09|-43,76|73,0|73,0|?
OKEN A|71,41|-43,34|36,0|36,0|?
OKEN E|79,25|-46,22|12,0|12,0|?
OKEN F|71,38|-44,49|21,0|21,0|?
OKEN L|78,14|-42,79|10,0|10,0|?
OKEN M|75,48|-41,80|7,0|7,0|?
OKEN N|74,67|-42,60|40,0|40,0|?
OLBERS|-76,14|7,30|75,0|75,0|3000
OLBERS B|-74,21|6,84|16,0|16,0|?
OLBERS D|-78,03|10,23|116,0|116,0|?
OLBERS G|-74,67|8,40|10,0|10,0|?
OLBERS H|-74,55|8,69|8,0|8,0|?
OLBERS K|-78,28|6,81|24,0|24,0|?
OLBERS M|-81,18|8,00|33,0|33,0|?
OLBERS N|-79,82|9,03|22,0|22,0|?
OLBERS S|-76,68|6,83|21,0|21,0|?
OLBERS V|-73,12|9,13|7,0|7,0|?
OLBERS W|-81,61|5,89|18,0|18,0|?
OLBERS Y|-83,73|6,46|21,0|21,0|?
OLD NAMELESS|-17,50|-3,70|0,1|0,1|
OPELT|-17,64|-16,32|50,0|50,0|?
Opelt 1|-18,03|-13,47|57,0|57,0|?
OPPOLZER|-0,45|-1,52|43,0|43,0|?
ORONTIUS|-3,96|-40,37|123,0|123,0|?
ORONTIUS A|-2,60|-39,12|7,0|7,0|?
ORONTIUS B|-3,16|-39,96|10,0|10,0|?
ORONTIUS C|-4,11|-37,97|15,0|15,0|?
ORONTIUS D|-6,20|-39,41|15,0|15,0|?
ORONTIUS E|-4,82|-39,59|6,0|6,0|?
ORONTIUS F|-3,93|-39,23|41,0|41,0|?
OSAMA|5,27|18,61|0,4|0,4|
OSIRIS|27,65|18,65|1,0|1,0|
OSMAN|-6,25|-10,98|1,8|1,8|
PALISA|-7,19|-9,47|33,0|33,0|900
PALISA C|-6,47|-7,73|9,0|9,0|?
PALISA D|-6,91|-8,68|8,0|8,0|?
PALISA E|-5,75|-8,47|18,0|18,0|?
PALISA T|-8,22|-8,26|12,0|12,0|?
PALITZSCH|64,39|-28,02|41,0|41,0|?
PALITZSCH A|65,68|-26,96|31,0|31,0|?
PALITZSCH B|68,39|-26,41|39,0|39,0|?
PALLAS|-1,65|5,48|50,0|50,0|1260
PALLAS A|-2,35|5,97|10,6|10,6|2080
PALLAS C|-1,12|4,49|6,0|6,0|?
PALLAS E|-1,47|4,03|26,0|26,0|?
PALLAS F|-1,39|3,51|18,0|18,0|?
Pallas F|-2,64|2,81|0,0|0,0|?
PALLAS N|0,49|7,02|6,0|6,0|?
PALMETTO|15,50|-8,90|0,0|0,0|
PALMIERI|-47,80|-28,64|41,0|41,0|1200
PALMIERI A|-48,52|-32,25|21,0|21,0|?
PALMIERI B|-48,32|-30,84|9,0|9,0|?
PALMIERI E|-48,63|-29,23|14,0|14,0|?
PALMIERI G|-47,80|-32,58|9,0|9,0|?
PALMIERI H|-47,78|-31,56|19,0|19,0|?
PALMIERI J|-49,42|-33,68|10,0|10,0|?
PALUS EPIDEMIARUM|-27,54|-32,00|300,0|300,0|?
PALUS PUTREDINIS|0,00|27,36|180,0|180,0|?
PALUS SOMNI|44,72|13,69|200,0|100,0|?
PARROT|3,29|-14,57|118,0|118,0|3000
PARROT A|2,08|-15,33|21,0|21,0|?
PARROT B|2,41|-13,64|10,0|10,0|?
PARROT C|1,23|-18,57|31,0|31,0|?
PARROT D|3,60|-14,23|21,0|21,0|?
PARROT E|2,21|-16,00|20,0|20,0|?
PARROT F|1,39|-16,12|19,0|19,0|?
PARROT G|2,54|-17,43|28,0|28,0|?
PARROT H|1,17|-17,62|19,0|19,0|?
PARROT J|1,78|-17,03|23,0|23,0|?
PARROT K|1,58|-14,09|44,0|44,0|?
PARROT L|0,91|-18,05|7,0|7,0|?
PARROT M|1,93|-18,00|7,0|7,0|?
PARROT O|2,54|-16,96|10,0|10,0|?
PARROT P|2,92|-18,74|6,0|6,0|?
PARROT R|3,15|-13,53|10,0|10,0|?
PARROT S|3,55|-15,94|10,0|10,0|?
PARROT T|4,14|-15,92|8,0|8,0|?
PARROT U|4,44|-14,02|10,0|10,0|?
PARROT V|0,80|-13,25|24,0|24,0|?
PARROT Y|0,69|-13,94|10,0|10,0|?
PARRY|-15,78|-7,88|48,0|48,0|560
PARRY E|-16,35|-8,40|6,0|6,0|?
PARRY L|-14,70|-6,32|7,0|7,0|?
PARRY M|-14,53|-8,91|26,0|26,0|?
PASCAL|-70,63|74,36|106,0|106,0|?
PASCAL A|-75,04|72,92|28,0|28,0|?
PASCAL F|-76,21|75,66|27,0|27,0|?
PASCAL G|-66,24|73,01|14,0|14,0|?
PASCAL J|-69,35|72,18|14,0|14,0|?
PASCAL L|-63,56|73,75|15,0|15,0|?
PATRICIA|0,50|24,91|10,1|10,1|
PEIRCE|53,35|18,26|18,0|18,0|1800
PEIRCE C|49,89|18,75|19,0|19,0|?
PEIRESCIUS|67,80|-46,40|63,0|63,0|?
PEIRESCIUS A|71,24|-45,23|15,0|15,0|?
PEIRESCIUS B|70,48|-45,67|18,0|18,0|?
PEIRESCIUS C|71,73|-46,47|41,0|41,0|?
PEIRESCIUS D|72,11|-48,17|43,0|43,0|?
PEIRESCIUS G|67,78|-48,10|25,0|25,0|?
PEIRESCIUS H|73,11|-45,40|8,0|8,0|?
PEIRESCIUS J|66,75|-45,09|15,0|15,0|?
PENTLAND|11,34|-64,57|56,0|56,0|?
PENTLAND A|13,25|-67,32|44,0|44,0|?
PENTLAND B|13,93|-66,18|30,0|30,0|?
PENTLAND C|16,43|-65,06|37,0|37,0|?
PENTLAND D|13,96|-63,22|35,0|35,0|?
PENTLAND DA|14,37|-62,93|54,0|54,0|?
PENTLAND E|13,35|-68,09|11,0|11,0|?
PENTLAND F|11,31|-62,15|12,0|12,0|?
PENTLAND J|14,63|-64,52|9,0|9,0|?
PENTLAND K|17,83|-66,92|12,0|12,0|?
PENTLAND L|17,77|-65,85|23,0|23,0|?
PENTLAND M|17,06|-64,55|7,0|7,0|?
PENTLAND N|17,19|-63,65|25,0|25,0|?
PENTLAND O|18,51|-63,26|15,0|15,0|?
PENTLAND P|14,35|-67,85|8,0|8,0|?
PETAVIUS|60,78|-25,39|177,0|177,0|3300
PETAVIUS B|57,00|-19,90|33,0|33,0|?
Petavius B 1|55,04|-18,54|30,0|30,0|?
Petavius B 2|56,92|-18,42|0,0|0,0|?
Petavius B 3|53,04|-17,76|0,0|0,0|?
PETAVIUS C|59,97|-27,72|11,0|11,0|?
PETAVIUS D|64,31|-24,04|17,0|17,0|?
PETERMANN|67,89|74,35|73,0|73,0|?
PETERMANN A|87,63|74,85|17,0|17,0|?
PETERMANN B|63,91|72,77|11,0|11,0|?
PETERMANN C|57,34|71,51|13,0|13,0|?
PETERMANN D|66,52|77,15|31,0|31,0|?
PETERMANN E|53,26|72,46|13,0|13,0|?
PETERMANN R|55,61|74,78|115,0|115,0|?
PETERMANN S|62,04|75,29|8,0|8,0|?
PETERMANN X|76,10|75,02|9,0|9,0|?
PETERMANN Y|85,69|75,71|13,0|13,0|?
PETROV|88,18|-61,36|50,0|50,0|?
PETROV A|88,62|-62,45|17,0|17,0|?
PETTIT C|-89,07|-24,88|8,0|8,0|?
PHILLIPS|75,67|-26,57|124,0|124,0|?
PHILLIPS A|73,59|-27,15|13,0|13,0|?
PHILLIPS B|70,59|-23,21|40,0|40,0|?
PHILLIPS C|71,16|-26,51|6,0|6,0|?
PHILLIPS D|70,80|-25,04|61,0|61,0|?
PHILLIPS E|68,12|-25,60|8,0|8,0|?
PHILLIPS F|68,83|-25,09|11,0|11,0|?
PHILLIPS G|68,72|-24,55|8,0|8,0|?
PHILLIPS H|71,31|-25,25|7,0|7,0|?
PHILLIPS W|72,23|-25,15|63,0|63,0|?
PHILOLAUS|-32,88|72,22|71,0|71,0|3400
PHILOLAUS B|-24,47|69,71|11,0|11,0|?
PHILOLAUS C|-32,82|71,23|95,0|95,0|?
PHILOLAUS D|-27,66|74,37|91,0|91,0|?
PHILOLAUS E|-18,79|69,64|12,0|12,0|?
PHILOLAUS F|-18,36|68,11|8,0|8,0|?
